,NAME,S1901_C01_001E
48377,"Presidio County, Texas",2195
48379,"Rains County, Texas",4585
48381,"Randall County, Texas",54480
48383,"Reagan County, Texas",1069
48385,"Real County, Texas",893
48387,"Red River County, Texas",4591
48389,"Reeves County, Texas",4070
48391,"Refugio County, Texas",2189
48393,"Roberts County, Texas",310
48395,"Robertson County, Texas",6310
48397,"Rockwall County, Texas",35771
48399,"Runnels County, Texas",3746
48401,"Rusk County, Texas",17656
48403,"Sabine County, Texas",4317
48405,"San Augustine County, Texas",3167
48407,"San Jacinto County, Texas",9451
48409,"San Patricio County, Texas",23808
48411,"San Saba County, Texas",1960
48413,"Schleicher County, Texas",883
48415,"Scurry County, Texas",5973
48417,"Shackelford County, Texas",1269
48419,"Shelby County, Texas",8898
48421,"Sherman County, Texas",810
48423,"Smith County, Texas",81377
48425,"Somervell County, Texas",3227
48427,"Starr County, Texas",18599
48429,"Stephens County, Texas",3385
48431,"Sterling County, Texas",397
48433,"Stonewall County, Texas",472
48435,"Sutton County, Texas",1124
48437,"Swisher County, Texas",2477
48439,"Tarrant County, Texas",739804
48441,"Taylor County, Texas",53292
48443,"Terrell County, Texas",426
48445,"Terry County, Texas",4082
48447,"Throckmorton County, Texas",618
48449,"Titus County, Texas",10654
48451,"Tom Green County, Texas",44814
48453,"Travis County, Texas",514227
48455,"Trinity County, Texas",5879
48457,"Tyler County, Texas",6525
48459,"Upshur County, Texas",14576
48461,"Upton County, Texas",1422
48463,"Uvalde County, Texas",8324
48465,"Val Verde County, Texas",16146
48467,"Van Zandt County, Texas",22047
48469,"Victoria County, Texas",34219
48471,"Walker County, Texas",23780
48473,"Waller County, Texas",17286
48475,"Ward County, Texas",4299
48477,"Washington County, Texas",13906
48479,"Webb County, Texas",76207
48481,"Wharton County, Texas",14991
48483,"Wheeler County, Texas",1935
48485,"Wichita County, Texas",48173
48487,"Wilbarger County, Texas",4586
48489,"Willacy County, Texas",5372
48491,"Williamson County, Texas",217780
48493,"Wilson County, Texas",16949
48495,"Winkler County, Texas",2723
48497,"Wise County, Texas",23488
48499,"Wood County, Texas",17584
48501,"Yoakum County, Texas",2682
48503,"Young County, Texas",7409
48505,"Zapata County, Texas",4390
48507,"Zavala County, Texas",3394
