GEO_ID,NAME,S2701_C01_001E,PopTot
48439,"Tarrant County, Texas",2076478,2110640
48441,"Taylor County, Texas",136102,143208
48443,"Terrell County, Texas",979,760
48445,"Terry County, Texas",11162,11831
48447,"Throckmorton County, Texas",1426,1440
48449,"Titus County, Texas",31141,31247
48451,"Tom Green County, Texas",114313,120003
48453,"Travis County, Texas",1260085,1290188
48455,"Trinity County, Texas",13568,13602
48457,"Tyler County, Texas",17832,19798
48459,"Upshur County, Texas",40345,40892
48461,"Upton County, Texas",3286,3308
48463,"Uvalde County, Texas",24451,24564
48465,"Val Verde County, Texas",44751,47586
48467,"Van Zandt County, Texas",58238,59541
48469,"Victoria County, Texas",90409,91319
48471,"Walker County, Texas",63772,76400
48473,"Waller County, Texas",55336,56794
48475,"Ward County, Texas",11279,11644
48477,"Washington County, Texas",34763,35805
48479,"Webb County, Texas",265103,267114
48481,"Wharton County, Texas",41300,41570
48483,"Wheeler County, Texas",5037,4990
48485,"Wichita County, Texas",116702,129350
48487,"Wilbarger County, Texas",12483,12887
48489,"Willacy County, Texas",19296,20164
48491,"Williamson County, Texas",589010,609017
48493,"Wilson County, Texas",48732,49753
48495,"Winkler County, Texas",7537,7791
48497,"Wise County, Texas",67091,68632
48499,"Wood County, Texas",43667,44843
48501,"Yoakum County, Texas",7707,7694
48503,"Young County, Texas",17661,17867
48505,"Zapata County, Texas",13912,13889
48507,"Zavala County, Texas",9798,9670
